"providernumber";"hospitalname";"address1";"address2";"address3";"city";"state";"zip";"country";"phone";"hospitaltype";"hospitalowner";"emergencyservice";"condition";"measurecode";"measurename";"score";"sample";"stateavg"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Heart Attack";"AMI-7A";"Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival";"";"0 patients";"AL_AMI-7A"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Heart Attack";"AMI-8A";"Heart Attack Patients Given PCI Within 90 Minutes Of Arrival";"";"0 patients";"AL_AMI-8A"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Heart Failure";"HF-1";"Heart Failure Patients Given Discharge Instructions";"51%";"45 patients";"AL_HF-1"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Heart Failure";"HF-2";"Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function";"98%";"51 patients";"AL_HF-2"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Heart Failure";"HF-3";"Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)";"100%";"13 patients";"AL_HF-3"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Heart Failure";"HF-4";"Heart Failure Patients Given Smoking Cessation Advice/Counseling";"100%";"13 patients";"AL_HF-4"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2562495000";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Pneumonia";"PN-2";"Pneumonia Patients Assessed and Given Pneumococcal Vaccination";"81%";"58 patients";"AL_PN-2"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Pneumonia";"PN-3B";"Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics";"98%";"61 patients";"AL_PN-3B"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Pneumonia";"PN-4";"Pneumonia Patients Given Smoking Cessation Advice/Counseling";"100%";"26 patients";"AL_PN-4"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"135204";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Pneumonia";"PN-5C";"Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival";"91%";"79 patients";"AL_PN-5C"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Pneumonia";"PN-6";"Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)";"78%";"51 patients";"AL_PN-6"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Pneumonia";"PN-7";"Pneumonia Patients Assessed and Given Influenza Vaccination";"76%";"37 patients";"AL_PN-7"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Surgical Infection Prevention";"SCIP-CARD-2";"surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery";"97%";"34 patients";"AL_SCIP-CARD-2"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Surgical Infection Prevention";"SCIP-INF-1";"surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection";"89%";"152 patients";"AL_SCIP-INF-1"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM-*";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Surgical Infection Prevention";"SCIP-INF-2";"surgery patients who were given the  right kind  of antibiotic to help prevent infection";"99%";"153 patients";"AL_SCIP-INF-2"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Surgical Infection Prevention";"SCIP-INF-3";"surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)";"96%";"152 patients";"AL_SCIP-INF-3"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Surgical Infection Prevention";"SCIP-INF-4";"all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery";"";"0 patients";"AL_SCIP-INF-4"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Surgical Infection Prevention";"SCIP-INF-6";"surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream ï¿?C not a razor)";"93%";"265 patients";"AL_SCIP-INF-6"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Surgical Infection Prevention";"SCIP-VTE-1";"surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries";"98%";"101 patients";"AL_SCIP-VTE-1"
"10167";"UAB HIGHLANDS";"1201 11TH AVENUE SOUTH";"";"";"BIRMINGHAM";"AL";"35205";"JEFFERSON";"2059757100";"Acute Care Hospitals";"Government - Hospital District or Authority";"Yes";"Surgical Infection Prevention";"SCIP-VTE-2";"patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery";"95%";"100 patients";"AL_SCIP-VTE-2"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Heart Attack";"AMI-1";"Heart Attack Patients Given Aspirin at Arrival";"100%";"11 patients";"AL_AMI-1"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Heart Attack";"AMI-2";"Heart Attack Patients Given Aspirin at Discharge";"60%";"5 patients";"AL_AMI-2"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Heart Attack";"AMI-3";"Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)";"100%";"1 patients";"AL_AMI-3"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Heart Attack";"AMI-4";"Heart Attack Patients Given Smoking Cessation Advice/Counseling";"0%";"2 patients";"AL_AMI-4"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Heart Attack";"AMI-5";"Heart Attack Patients Given Beta Blocker at Discharge";"75%";"4 patients";"AL_AMI-5"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Heart Attack";"AMI-7A";"Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival";"";"0 patients";"AL_AMI-7A"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Heart Attack";"AMI-8A";"Heart Attack Patients Given PCI Within 90 Minutes Of Arrival";"";"0 patients";"AL_AMI-8A"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Heart Failure";"HF-1";"Heart Failure Patients Given Discharge Instructions";"26%";"39 patients";"AL_HF-1"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Heart Failure";"HF-2";"Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function";"74%";"46 patients";"AL_HF-2"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Heart Failure";"HF-3";"Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)";"100%";"14 patients";"AL_HF-3"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Heart Failure";"HF-4";"Heart Failure Patients Given Smoking Cessation Advice/Counseling";"83%";"6 patients";"AL_HF-4"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Pneumonia";"PN-2";"Pneumonia Patients Assessed and Given Pneumococcal Vaccination";"67%";"51 patients";"AL_PN-2"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Pneumonia";"PN-3B";"Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics";"78%";"51 patients";"AL_PN-3B"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Pneumonia";"PN-4";"Pneumonia Patients Given Smoking Cessation Advice/Counseling";"40%";"25 patients";"AL_PN-4"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Pneumonia";"PN-5C";"Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival";"91%";"56 patients";"AL_PN-5C"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Pneumonia";"PN-6";"Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)";"72%";"40 patients";"AL_PN-6"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Pneumonia";"PN-7";"Pneumonia Patients Assessed and Given Influenza Vaccination";"69%";"48 patients";"AL_PN-7"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Surgical Infection Prevention";"SCIP-CARD-2";"surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery";"92%";"36 patients";"AL_SCIP-CARD-2"
"10168";"SUMMIT HOSPITAL";"4401 RIVER CHASE DRIVE";"";"";"PHENIX CITY";"AL";"36867";"RUSSELL";"3347323456";"Acute Care Hospitals";"Government - State";"Yes";"Surgical Infection Prevention";"SCIP-INF-1";"surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection";"97%";"150 patients";"AL_SCIP-INF-1"
